term,coef
overdraft,4.275944048296985
fraud,4.126616115972956
denied,3.4330584213215527
erroneous,3.2001088944772427
disputed,3.1541138763623837
suspicious,2.4653346318951326
unauthorized,2.2983480638815643
ref,2.0192612369825618
ticket,0.772829937141976
port,0.6648044813454306
count,0.6186840038456431
authorized,0.6148874550762768
ent,0.6148590208884529
picious,0.6094831773566513
sus,0.6094831773566513
aud,0.59249131735842
overdra,0.5425322626530876
fra,0.5203049410693199
ransferred,0.5132273156007378
deni,0.5113205101420287
wit,0.4945861188232132
car,0.48367130405101044
uspicious,0.46555079256094195
credi,0.4610006630525662
transacti,0.443257930757044
ortgage,0.4317257616177391
know,0.4298217356861492
umm,0.4246814794427464
suspicio,0.4072638710116563
insuffici,0.4062964228504279
